Date and Time:                Thu May 24 15:50:28.796 2018
Software Version:             4.30.30034.0
Temperature (C):              -80
Model:                        DU970P_BVF
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Accumulate Cycle Time (secs): 1.0448
Frequency (Hz):               0.95709
Number of Accumulations:      500
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 250
Serial Number:                21547
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                
590.9574	596204
591.08105	625040
591.20471	601547
591.32837	601447
591.45203	576144
591.57568	587283
591.69934	616616
591.823	631903
591.94666	628489
592.07031	639436
592.19397	645361
592.31763	586620
592.44128	647275
592.56494	650957
592.6886	670733
592.81226	684507
592.93591	709125
593.05957	660777
593.18317	746317
593.30682	719394
593.43048	717563
593.55414	807749
593.6778	781028
593.80145	835931
593.92505	935838
594.04871	982532
594.17236	1.14923e+06
594.29602	1.33746e+06
594.41962	1.77366e+06
594.54327	2.48801e+06
594.66693	3.63538e+06
594.79059	5.76059e+06
594.91418	9.56845e+06
595.03784	1.59054e+07
595.1615	2.56688e+07
595.2851	3.25117e+07
595.40875	3.26411e+07
595.53241	3.26411e+07
595.65601	3.26411e+07
595.77966	3.26411e+07
595.90326	3.26411e+07
596.02692	3.26411e+07
596.15051	3.26411e+07
596.27417	3.26411e+07
596.39777	3.26411e+07
596.52142	3.26411e+07
596.64502	3.26411e+07
596.76868	3.26411e+07
596.89227	3.26411e+07
597.01593	3.26411e+07
597.13953	3.26411e+07
597.26318	3.26411e+07
597.38678	3.26411e+07
597.51038	3.26411e+07
597.63403	3.26411e+07
597.75763	3.26411e+07
597.88123	3.26411e+07
598.00488	3.26411e+07
598.12848	3.26411e+07
598.25208	3.26411e+07
598.37573	3.26411e+07
598.49933	3.26411e+07
598.62292	3.26411e+07
598.74652	3.26411e+07
598.87018	3.26411e+07
598.99377	3.26411e+07
599.11737	3.26411e+07
599.24097	3.26411e+07
599.36456	3.26411e+07
599.48816	3.26411e+07
599.61176	3.25475e+07
599.73541	3.19739e+07
599.85901	3.17575e+07
599.9826	3.17482e+07
600.1062	3.17395e+07
600.2298	3.17294e+07
600.35339	3.17209e+07
600.47699	3.17113e+07
600.60059	3.16994e+07
600.72418	3.16878e+07
600.84778	3.16729e+07
600.97137	3.16563e+07
601.09497	3.16391e+07
601.21857	3.1623e+07
601.3421	3.16061e+07
601.4657	3.15948e+07
601.58929	3.15863e+07
601.71289	3.13378e+07
601.83649	2.85852e+07
601.96008	2.1971e+07
602.08362	1.65319e+07
602.20721	1.23767e+07
602.33081	9.27805e+06
602.45441	6.86096e+06
602.57794	5.63954e+06
602.70154	4.91052e+06
602.82513	4.25871e+06
602.94873	3.9982e+06
603.07227	3.89302e+06
603.19586	3.92438e+06
603.3194	4.09514e+06
603.44299	4.23634e+06
603.56659	4.59363e+06
603.69012	4.90752e+06
603.81372	5.46454e+06
603.93726	5.83427e+06
604.06085	6.29153e+06
604.18439	6.99653e+06
604.30798	7.66051e+06
604.43152	8.179e+06
604.55511	8.59552e+06
604.67865	8.96675e+06
604.80225	9.2921e+06
604.92578	9.57082e+06
605.04932	9.47096e+06
605.17291	9.69633e+06
605.29645	1.0202e+07
605.41998	1.03696e+07
605.54358	1.08156e+07
605.66711	1.1317e+07
605.79065	1.17169e+07
605.91425	1.28101e+07
606.03778	1.36518e+07
606.16132	1.50793e+07
606.28485	1.63025e+07
606.40839	1.80794e+07
606.53198	2.03572e+07
606.65552	2.31419e+07
606.77905	2.67573e+07
606.90259	3.01348e+07
607.02612	3.21617e+07
607.14966	3.26147e+07
607.27319	3.26411e+07
607.39673	3.26411e+07
607.52026	3.26411e+07
607.6438	3.26411e+07
607.76733	3.26411e+07
607.89087	3.26411e+07
608.0144	3.26411e+07
608.13794	3.26411e+07
608.26147	3.26411e+07
608.38501	3.26411e+07
608.50854	3.2636e+07
608.63202	3.25395e+07
608.75555	3.22193e+07
608.87909	3.18353e+07
609.00262	3.17529e+07
609.12616	3.17382e+07
609.24963	3.17284e+07
609.37317	3.17208e+07
609.4967	3.17147e+07
609.62024	3.17097e+07
609.74371	3.17055e+07
609.86725	3.17038e+07
609.99078	3.17037e+07
610.11426	3.16874e+07
610.23779	3.1594e+07
610.36127	3.14932e+07
610.4848	3.16075e+07
610.60828	3.16294e+07
610.73181	3.16572e+07
610.85529	3.16327e+07
610.97882	3.16756e+07
611.10229	3.16702e+07
611.22583	3.16423e+07
611.3493	3.16498e+07
611.47284	3.16181e+07
611.59631	3.15434e+07
611.71979	3.15138e+07
611.84332	3.13493e+07
611.9668	3.07034e+07
612.09027	2.97714e+07
612.21381	2.87805e+07
612.33728	2.66976e+07
612.46075	2.48018e+07
612.58423	2.26385e+07
612.70776	2.06896e+07
612.83124	1.90748e+07
612.95471	1.75441e+07
613.07819	1.61093e+07
613.20166	1.48886e+07
613.32513	1.36128e+07
613.44861	1.27842e+07
613.57208	1.22274e+07
613.69556	1.14213e+07
613.81903	1.06178e+07
613.9425	1.0133e+07
614.06598	9.64216e+06
614.18945	8.90224e+06
614.31293	8.12164e+06
614.4364	7.93317e+06
614.55988	7.36821e+06
614.68335	6.89776e+06
614.80682	6.49258e+06
614.9303	6.16618e+06
615.05371	5.78655e+06
615.17719	5.61078e+06
615.30066	5.4334e+06
615.42413	5.50667e+06
615.54755	5.47908e+06
615.67102	5.72957e+06
615.79449	5.9228e+06
615.91791	6.23437e+06
616.04138	1.59752e+07
616.16486	3.17115e+07
616.28827	3.1694e+07
616.41174	3.16792e+07
616.53516	3.16638e+07
616.65863	3.16482e+07
616.78204	3.16299e+07
616.90552	3.16102e+07
617.02893	3.15912e+07
617.1524	3.1572e+07
617.27582	3.15474e+07
617.39923	3.15305e+07
617.52271	2.94651e+07
617.64612	1.26452e+07
617.76959	8.27197e+06
617.89301	6.15517e+06
618.01642	5.14209e+06
618.13983	4.43779e+06
618.26331	3.9157e+06
618.38672	3.5643e+06
618.51013	3.28294e+06
618.63354	2.95105e+06
618.75696	2.78211e+06
618.88037	2.70913e+06
619.00378	2.53059e+06
619.12726	2.47477e+06
619.25067	2.43721e+06
619.37408	2.37608e+06
619.4975	2.17862e+06
619.62091	2.23707e+06
619.74432	2.17191e+06
619.86774	2.1119e+06
619.99109	2.12015e+06
620.1145	2.09085e+06
620.23792	2.03804e+06
620.36133	1.9994e+06
620.48474	1.93201e+06
620.60815	1.98084e+06
620.73151	1.83372e+06
620.85492	1.91726e+06
620.97833	1.90462e+06
621.10175	1.89815e+06
621.2251	1.80279e+06
621.34851	1.77117e+06
621.47192	1.82648e+06
621.59528	1.74146e+06
621.71869	1.79733e+06
621.84204	1.77915e+06
621.96545	1.71216e+06
622.08881	1.72024e+06
622.21222	1.68908e+06
622.33557	1.8216e+06
622.45898	1.69455e+06
622.58234	1.74475e+06
622.70575	1.66551e+06
622.8291	1.73073e+06
622.95245	1.61317e+06
623.07587	1.75756e+06
623.19922	1.65139e+06
623.32257	1.59953e+06
623.44598	1.65376e+06
623.56934	1.62968e+06
623.69269	1.69718e+06
623.81604	1.70832e+06
623.93939	1.74342e+06
624.06274	1.67617e+06
624.18616	1.76248e+06
624.30951	1.78436e+06
624.43286	1.78953e+06
624.55621	1.91688e+06
624.67957	1.90561e+06
624.80292	1.87599e+06
624.92627	1.89758e+06
625.04962	1.9419e+06
625.17291	1.91824e+06
625.29626	1.88082e+06
625.41962	1.86563e+06
625.54297	1.8443e+06
625.66632	1.95305e+06
625.78967	1.80937e+06
625.91296	1.81471e+06
626.03632	1.87082e+06
626.15967	1.77589e+06
626.28296	1.81194e+06
626.40631	1.90412e+06
626.52966	1.86004e+06
626.65295	1.74318e+06
626.77631	1.86444e+06
626.89966	1.81584e+06
627.02295	1.70733e+06
627.1463	1.69398e+06
627.26959	1.66606e+06
627.39288	1.74146e+06
627.51624	1.67802e+06
627.63953	1.62657e+06
627.76288	1.60406e+06
627.88617	1.5342e+06
628.00946	1.54903e+06
628.13281	1.5692e+06
628.2561	1.55498e+06
628.37939	1.48477e+06
628.50269	1.43199e+06
628.62604	1.35594e+06
628.74933	1.38196e+06
628.87262	1.37062e+06
628.99591	1.38808e+06
629.1192	1.31325e+06
629.24249	1.28613e+06
629.36578	1.3035e+06
629.48907	1.20208e+06
629.61237	1.15851e+06
629.73566	1.2107e+06
629.85895	1.15538e+06
629.98224	1.19834e+06
630.10553	1.09551e+06
630.22882	1.12766e+06
630.35211	1.06189e+06
630.47534	1.02933e+06
630.59863	1.01471e+06
630.72192	1.04532e+06
630.84521	1.04259e+06
630.96844	958874
631.09174	988134
631.21503	1.00471e+06
631.33826	1.01e+06
631.46155	996537
631.58478	952767
631.70807	1.01938e+06
631.8313	963984
631.95459	989904
632.07782	1.05497e+06
632.20111	985795
632.32434	1.00368e+06
632.44757	1.03998e+06
632.57086	993042
632.69409	1.06111e+06
632.81732	975393
632.94061	1.03847e+06
633.06384	959626
633.18707	1.00609e+06
633.3103	954379
633.43353	1.01228e+06
633.55676	1.04716e+06
633.67999	1.00315e+06
633.80322	933122
633.92651	1.05113e+06
634.04974	1.11079e+06
634.17291	1.06073e+06
634.29614	1.05952e+06
634.41937	1.03348e+06
634.5426	1.01883e+06
634.66583	1.00386e+06
634.78906	1.01763e+06
634.91229	1.05795e+06
635.03552	973270
635.15869	1.01955e+06
635.28192	1.04538e+06
635.40515	1.00965e+06
635.52832	978861
635.65155	1.00324e+06
635.77478	973979
635.89795	1.03501e+06
636.02118	982486
636.14435	1.01478e+06
636.26758	981141
636.39075	943572
636.51398	989053
636.63715	964856
636.76031	970483
636.88354	924431
637.00671	982830
637.12988	925110
637.25311	936431
637.37628	984008
637.49945	946166
637.62262	990098
637.74579	929660
637.86896	998532
637.99213	944185
638.1153	952765
638.23853	917111
638.36169	974630
638.4848	1.0193e+06
638.60797	965210
638.73114	1.017e+06
638.85431	992799
638.97748	1.0067e+06
639.10065	1.0478e+06
639.22382	928719
639.34692	969590
639.47009	1.05016e+06
639.59326	1.01335e+06
639.71637	1.00101e+06
639.83954	948463
639.96271	1.01662e+06
640.08582	1.04606e+06
640.20898	985133
640.33209	1.02522e+06
640.45526	1.03425e+06
640.57837	1.09743e+06
640.70154	1.0296e+06
640.82465	1.09751e+06
640.94775	995281
641.07092	962894
641.19403	1.08139e+06
641.31714	997356
641.44031	1.00282e+06
641.56342	980007
641.68652	994398
641.80963	965292
641.93274	911952
642.05585	983330
642.17896	891484
642.30206	973470
642.42517	978813
642.54828	937975
642.67139	944736
642.79449	1.03015e+06
642.9176	963255
643.04071	939436
643.16382	1.01152e+06
643.28687	919220
643.40997	955304
643.53308	920032
643.65613	938583
643.77924	1.01312e+06
643.90234	925433
644.02539	1.00641e+06
644.1485	1.02556e+06
644.27155	1.0251e+06
644.39465	1.05846e+06
644.5177	1.04039e+06
644.64081	1.03947e+06
644.76385	1.04059e+06
644.8869	1.04735e+06
645.01001	1.10668e+06
645.13306	1.11241e+06
645.2561	1.14479e+06
645.37921	1.1296e+06
645.50226	1.14451e+06
645.62531	1.19518e+06
645.74835	1.23084e+06
645.8714	1.26916e+06
645.99445	1.39067e+06
646.11749	1.46898e+06
646.24054	1.48114e+06
646.36359	1.46394e+06
646.48663	1.52263e+06
646.60968	1.41239e+06
646.73273	1.41381e+06
646.85577	1.28987e+06
646.97882	1.36567e+06
647.10181	1.44283e+06
647.22485	1.40234e+06
647.3479	1.43936e+06
647.47095	1.40587e+06
647.59393	1.40077e+06
647.71698	1.48015e+06
647.83997	1.47727e+06
647.96301	1.53838e+06
648.086	1.60769e+06
648.20905	1.57315e+06
648.33203	1.66711e+06
648.45508	1.64462e+06
648.57806	1.77187e+06
648.70111	1.79298e+06
648.8241	1.76189e+06
648.94708	1.98009e+06
649.07007	2.0021e+06
649.19312	1.97293e+06
649.3161	1.87632e+06
649.43909	2.02641e+06
649.56207	2.03693e+06
649.68506	2.07826e+06
649.80804	1.94318e+06
649.93103	2.12496e+06
650.05402	2.11182e+06
650.177	2.16074e+06
650.29999	2.18339e+06
650.42297	2.19166e+06
650.54596	2.27491e+06
650.66895	2.28669e+06
650.79187	2.39192e+06
650.91486	2.49661e+06
651.03784	2.3909e+06
651.16077	2.37617e+06
651.28375	2.44678e+06
651.40674	2.58927e+06
651.52966	2.71446e+06
651.65265	2.67567e+06
651.77557	2.7192e+06
651.89856	2.70027e+06
652.02148	2.71933e+06
652.14447	2.79219e+06
652.2674	2.75279e+06
652.39032	2.62039e+06
652.51331	2.78664e+06
652.63623	2.77904e+06
652.75916	2.79942e+06
652.88208	2.79009e+06
653.005	2.91775e+06
653.12793	2.87463e+06
653.25092	2.90881e+06
653.37384	2.86292e+06
653.49677	2.93819e+06
653.61969	2.90884e+06
653.74261	3.05872e+06
653.86548	3.23612e+06
653.9884	3.08868e+06
654.11133	3.01265e+06
654.23425	3.18175e+06
654.35718	3.2556e+06
654.48004	3.2739e+06
654.60297	3.33442e+06
654.72589	3.32004e+06
654.84875	3.38641e+06
654.97168	3.39996e+06
655.0946	3.72223e+06
655.21747	3.67467e+06
655.34039	3.82794e+06
655.46326	3.81704e+06
655.58612	3.77614e+06
655.70905	3.80105e+06
655.83191	4.01215e+06
655.95477	4.08476e+06
656.0777	4.21492e+06
656.20056	4.37966e+06
656.32343	4.65901e+06
656.44629	4.96825e+06
656.56915	5.17798e+06
656.69208	5.05699e+06
656.81494	4.803e+06
656.93781	4.79535e+06
657.06067	4.6076e+06
657.18353	4.36253e+06
657.30634	4.23976e+06
657.4292	4.32808e+06
657.55206	4.28573e+06
657.67493	4.20543e+06
657.79779	4.06811e+06
657.92059	4.06986e+06
658.04346	3.85742e+06
658.16632	3.97399e+06
658.28912	3.76843e+06
658.41199	3.63526e+06
658.53479	3.3566e+06
658.65765	3.25235e+06
658.78046	3.08922e+06
658.90332	2.91666e+06
659.02612	2.81571e+06
659.14899	2.76649e+06
659.27179	2.64493e+06
659.39459	2.44547e+06
659.5174	2.43056e+06
659.64026	2.59596e+06
659.76306	2.39891e+06
659.88586	2.44651e+06
660.00867	2.36205e+06
660.13147	2.36188e+06
660.25427	2.28636e+06
660.37708	2.25239e+06
660.49988	2.36714e+06
660.62268	2.36037e+06
660.74548	2.20143e+06
660.86829	2.20831e+06
660.99103	2.1973e+06
661.11383	2.16081e+06
661.23663	2.15813e+06
661.35944	2.03787e+06
661.48218	1.99699e+06
661.60498	2.13922e+06
661.72772	2.15092e+06
661.85052	2.05529e+06
661.97327	2.0976e+06
662.09607	1.98988e+06
662.21881	2.03643e+06
662.34161	2.03924e+06
662.46436	2.07833e+06
662.5871	2.09589e+06
662.7099	1.94381e+06
662.83264	1.94894e+06
662.95538	2.0571e+06
663.07812	2.00279e+06
663.20087	2.05336e+06
663.32361	1.95909e+06
663.44635	1.95195e+06
663.56909	1.87536e+06
663.69183	1.98608e+06
663.81458	1.9352e+06
663.93732	1.85178e+06
664.06006	1.99935e+06
664.1828	2.0948e+06
664.30548	2.29883e+06
664.42822	2.23969e+06
664.55096	2.02623e+06
664.67371	1.46803e+06
664.79639	1.19703e+06
664.91913	982504
665.04181	761860
665.16455	737234
665.28723	631367
665.40997	684122
665.53265	704748
665.65533	650252
665.77808	670532
665.90076	679380
666.02344	714322
666.14612	631125
666.2688	614010
666.39148	699303
666.51416	646696
666.63684	679157
666.75952	606191
666.8822	653227
667.00488	643506
667.12756	646399
667.25024	692497
667.37292	614596
667.49554	726160
667.61823	616498
667.74091	618315
667.86353	575264
667.98621	613753
668.10883	570940
668.23151	637654
668.35413	617950
668.47681	623404
668.59943	594030
668.72211	631563
668.84473	637555
668.96735	624394
669.08997	637662
669.21259	599229
669.33527	671171
669.45789	620714
669.58051	630218
669.70312	612669
669.82574	667680
669.94836	612670
670.07092	591644
670.19354	604908
670.31616	560629
670.43878	617285
670.5614	636633
670.68396	621671
670.80658	607986
670.9292	589764
671.05176	575650
671.17438	592396
671.29694	626569
671.41949	650927
671.54211	607480
671.66467	577407
671.78729	616868
671.90985	639312
672.03241	662426
672.15497	601361
672.27753	656945
672.40009	597427
672.52264	582027
672.6452	611780
672.76776	645001
672.89032	638466
673.01288	598502
673.13544	620932
673.258	595056
673.38055	587389
673.50305	614949
673.62561	629499
673.74817	631507
673.87067	617373
673.99323	603304
674.11572	582081
674.23828	598237
674.36078	644067
674.48334	605215
674.60583	661803
674.72833	648115
674.85083	631571
674.97339	588527
675.09589	646109
675.21838	627746
675.34088	619844
675.46338	642534
675.58588	601335
675.70837	608584
675.83087	611055
675.95337	646330
676.07587	650769
676.1983	597858
676.3208	627085
676.4433	577876
676.56573	554369
676.68823	603783
676.81073	633720
676.93317	597695
677.05566	604295
677.1781	608295
677.30054	632450
677.42303	606677
677.54547	602314
677.66791	616077
677.79041	641704
677.91284	613891
678.03528	566153
678.15771	615400
678.28015	585881
678.40259	588059
678.52502	629323
678.64746	614795
678.7699	583829
678.89227	604397
679.01471	584037
679.13715	555975
679.25958	605216
679.38196	567655
679.50439	616744
679.62677	602032
679.74921	543930
679.87158	572641
679.99402	595335
680.11639	615007
680.23877	628954
680.36121	598728
680.48358	606122
680.60596	578301
680.72833	609807
680.85071	580415
680.97314	617160
