Date and Time:                Tue Apr 30 15:35:16.817 2024
Software Version:             4.30.30034.0
Unstabilized Temperature (C): -74.704
Model:                        DU970P_BVF
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.51067
Accumulate Cycle Time (secs): 0.51067
Frequency (Hz):               1.9582
Number of Accumulations:      50
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     1
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                21547
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                KY-3410
Wavelength (nm):              668.287
Grating Groove Density (l/mm):599.775
Grating Blaze:                650nm
Output Direct Slit Width (um): 260



552.68842	33025
552.81213	32778
552.93585	32247
553.05963	32667
553.18335	32573
553.30707	32415
553.43079	32357
553.55457	32213
553.67828	32691
553.802	32861
553.92572	33201
554.04944	33258
554.17322	32955
554.29694	32849
554.42065	33502
554.54437	32970
554.66815	32786
554.79187	33370
554.91559	33225
555.03931	33455
555.16309	33694
555.2868	34147
555.41052	34302
555.53424	34390
555.65802	34693
555.78174	35027
555.90546	35315
556.02917	34883
556.15295	35255
556.27667	35889
556.40039	36600
556.52411	36553
556.64789	37599
556.77161	38466
556.89532	39218
557.01904	38570
557.14282	38263
557.26654	37584
557.39026	37633
557.51398	37436
557.63776	36869
557.76147	36783
557.88519	37454
558.00891	35912
558.13269	36551
558.25641	36459
558.38013	35985
558.50385	36175
558.62762	35876
558.75134	35819
558.87506	35249
558.99878	35862
559.12256	36176
559.24628	36451
559.37	36479
559.49371	36746
559.61749	36870
559.74121	36988
559.86493	37183
559.98865	37845
560.11243	38352
560.23615	37925
560.35986	38534
560.48358	38512
560.6073	38508
560.73108	38048
560.8548	38133
560.97852	38631
561.10223	38242
561.22601	38400
561.34973	38234
561.47345	38817
561.59717	38749
561.72095	38502
561.84467	38365
561.96838	38480
562.0921	38139
562.21582	38253
562.3396	38544
562.46332	38496
562.58704	38013
562.71075	38485
562.83453	38299
562.95825	38191
563.08197	38490
563.20569	37825
563.32941	37619
563.45319	37837
563.5769	37722
563.70062	37784
563.82434	37733
563.94806	37193
564.07184	36924
564.19556	37090
564.31927	36991
564.44299	36738
564.56671	36512
564.69043	36516
564.81421	36728
564.93793	35906
565.06165	36706
565.18536	36357
565.30908	36329
565.4328	36036
565.55658	36167
565.6803	36638
565.80402	36297
565.92773	36088
566.05145	36031
566.17517	36716
566.29895	36764
566.42267	36774
566.54639	36698
566.6701	36446
566.79382	36876
566.91754	37010
567.04126	37083
567.16498	36886
567.28876	37690
567.41248	37571
567.53619	38387
567.65991	38300
567.78363	38202
567.90735	38289
568.03107	38114
568.15479	38066
568.2785	38161
568.40222	37813
568.52594	37855
568.64972	38063
568.77344	37145
568.89716	37450
569.02087	37104
569.14459	36977
569.26831	36528
569.39203	36762
569.51575	36854
569.63947	36455
569.76318	36819
569.8869	37158
570.01062	37024
570.13434	36807
570.25806	36437
570.38177	36518
570.50549	36611
570.62921	36635
570.75293	36594
570.87665	36631
571.00037	36683
571.12408	36646
571.2478	36994
571.37152	37205
571.49524	37018
571.61896	37265
571.74268	37786
571.86639	38178
571.99011	37854
572.11383	37963
572.23755	38229
572.36127	38859
572.48499	38921
572.6087	39435
572.73242	40102
572.85608	40559
572.9798	42067
573.10352	43134
573.22723	44177
573.35095	46602
573.47467	48559
573.59839	50717
573.72211	51456
573.84583	54311
573.96948	55002
574.0932	55007
574.21692	55004
574.34064	54033
574.46436	51393
574.58807	50018
574.71179	46960
574.83545	45567
574.95917	44197
575.08289	43899
575.2066	42212
575.33032	41131
575.45398	40897
575.5777	40426
575.70142	40018
575.82513	39229
575.94879	39655
576.07251	39662
576.19623	39177
576.31995	39211
576.4436	38768
576.56732	38266
576.69104	38768
576.81476	38415
576.93842	38435
577.06213	38059
577.18585	37730
577.30951	37927
577.43323	37349
577.55695	37925
577.6806	38357
577.80432	38282
577.92804	38769
578.0517	39512
578.17542	39470
578.29913	39176
578.42279	38919
578.54651	38828
578.67023	39032
578.79388	39087
578.9176	38986
579.04126	38946
579.16498	39040
579.28864	38707
579.41235	38617
579.53607	38430
579.65973	38562
579.78345	38227
579.9071	37963
580.03082	38129
580.15448	38129
580.2782	38426
580.40186	38815
580.52557	38600
580.64923	39192
580.77295	39435
580.89661	39009
581.02032	38845
581.14398	38603
581.2677	39047
581.39136	39303
581.51501	39057
581.63873	39324
581.76239	39107
581.88611	38926
582.00977	38731
582.13342	38257
582.25714	38789
582.3808	39179
582.50452	39258
582.62817	39230
582.75183	39301
582.87555	39469
582.99921	39552
583.12286	39324
583.24652	39269
583.37024	39589
583.4939	39927
583.61755	39296
583.74127	39705
583.86493	39831
583.98859	40013
584.11224	40040
584.23596	39940
584.35962	39963
584.48328	40374
584.60693	40479
584.73059	40221
584.85431	40420
584.97797	39908
585.10162	40702
585.22528	40545
585.34894	40767
585.4726	40586
585.59625	41469
585.71997	41212
585.84363	42078
585.96729	42032
586.09094	42049
586.2146	42281
586.33826	42150
586.46191	42005
586.58557	41079
586.70923	41559
586.83289	41955
586.95654	41596
587.0802	40930
587.20386	41283
587.32751	41212
587.45117	41335
587.57483	41362
587.69849	41051
587.82214	41062
587.9458	41031
588.06946	40888
588.19312	40387
588.31671	40319
588.44037	40352
588.56403	39942
588.68768	39996
588.81134	39725
588.935	39739
589.05865	39858
589.18225	39490
589.30591	39813
589.42957	39938
589.55322	39494
589.67688	40275
589.80048	40423
589.92413	39809
590.04779	40467
590.17139	40240
590.29504	40350
590.4187	40010
590.54236	39988
590.66595	40135
590.78961	40870
590.91327	39907
591.03687	39634
591.16052	40381
591.28412	39795
591.40778	39741
591.53143	39923
591.65503	40151
591.77869	40441
591.90228	40888
592.02594	41020
592.14954	40762
592.27319	40367
592.39679	40199
592.52045	40722
592.64404	41014
592.7677	40480
592.8913	40765
593.01495	40975
593.13855	40644
593.26221	41046
593.3858	41310
593.5094	41192
593.63306	41142
593.75665	40993
593.88031	40815
594.00391	41020
594.1275	41076
594.2511	41483
594.37476	41612
594.49835	41443
594.62195	42173
594.74561	42664
594.8692	42458
594.9928	42060
595.11639	42460
595.24005	42272
595.36365	43159
595.48724	42933
595.61084	43535
595.73444	43823
595.85803	44398
595.98163	44423
596.10529	45750
596.22888	47020
596.35248	47918
596.47607	47842
596.59967	49255
596.72327	49482
596.84686	49422
596.97046	49133
597.09406	49041
597.21765	48652
597.34125	48339
597.46484	47328
597.58844	46601
597.71204	45353
597.83563	45102
597.95923	45057
598.08282	43946
598.20636	44150
598.32996	44361
598.45355	44557
598.57715	43594
598.70074	43492
598.82434	43129
598.94788	43374
599.07147	43430
599.19507	43163
599.31866	43336
599.4422	43005
599.5658	43311
599.68939	43805
599.81293	43652
599.93652	43453
600.06012	43304
600.18365	43786
600.30725	44553
600.43085	44553
600.55438	45638
600.67798	46311
600.80151	47186
600.92511	48317
601.04865	50116
601.17224	51659
601.29578	53468
601.41937	54771
601.54291	58213
601.6665	58396
601.79004	58787
601.91364	58604
602.03717	57412
602.16071	56247
602.2843	54571
602.40784	53888
602.53137	51714
602.65497	50893
602.7785	50205
602.90204	49734
603.02563	49064
603.14917	48633
603.27271	48006
603.39624	46883
603.51984	46790
603.64337	46570
603.76691	45970
603.89044	45877
604.01398	45758
604.13751	45729
604.26111	46007
604.38464	45987
604.50818	46069
604.63171	46173
604.75525	46210
604.87878	45957
605.00232	46587
605.12585	46896
605.24939	47198
605.37292	46891
605.49646	46849
605.62	46645
605.74353	46401
605.867	46572
605.99054	46275
606.11407	46527
606.23761	46676
606.36115	45839
606.48468	45736
606.60815	45621
606.73169	45750
606.85522	45157
606.97876	44483
607.10223	44511
607.22577	43482
607.3493	43136
607.47278	43818
607.59631	43937
607.71985	43793
607.84332	43443
607.96686	42812
608.09033	43433
608.21387	43314
608.3374	43135
608.46088	42794
608.58441	43159
608.70789	42878
608.83142	43639
608.9549	43144
609.07837	43017
609.2019	43662
609.32538	44088
609.44891	43069
609.57239	43126
609.69586	43660
609.8194	43166
609.94287	44041
610.06635	43804
610.18982	43653
610.31335	43937
610.43683	43967
610.5603	43704
610.68378	44301
610.80725	44309
610.93079	44445
611.05426	44833
611.17773	45145
611.30121	44806
611.42468	44535
611.54816	44694
611.67163	44744
611.7951	44494
611.91858	45016
612.04205	44858
612.16553	44323
612.289	44576
612.41248	44300
612.53595	43900
612.65942	43749
612.7829	43839
612.90631	44422
613.02979	44375
613.15326	44604
613.27673	44173
613.40021	44897
613.52362	45541
613.64709	45138
613.77057	44734
613.89398	45109
614.01746	44720
614.14093	44777
614.26434	44224
614.38782	43650
614.51123	43531
614.6347	43578
614.75818	44221
614.88159	44092
615.00507	44593
615.12848	43305
615.25189	43383
615.37537	43776
615.49878	44597
615.62225	44441
615.74567	44505
615.86908	44731
615.99255	44974
616.11597	45658
616.23938	45598
616.36285	45511
616.48627	45212
616.60968	45295
616.73309	44968
616.85657	45563
616.97998	45576
617.10339	45400
617.22681	44523
617.35022	45220
617.47363	43936
617.59705	44401
617.72046	43631
617.84387	43518
617.96729	43148
618.0907	43652
618.21411	43091
618.33752	43443
618.46094	42240
618.58435	42535
618.70776	42533
618.83118	42639
618.95453	42377
619.07794	42185
619.20135	42072
619.32477	42014
619.44812	42189
619.57153	41869
619.69495	42261
619.8183	41436
619.94171	41870
620.06512	41840
620.18848	41815
620.31189	42243
620.43524	41820
620.55865	41657
620.68207	41780
620.80542	42467
620.92877	41569
621.05219	41376
621.17554	41586
621.29895	42070
621.4223	41565
621.54565	41191
621.66907	41396
621.79242	41348
621.91577	42119
622.03918	42782
622.16254	42943
622.28589	42413
622.40924	42619
622.53259	42529
622.65601	43122
622.77936	42872
622.90271	43606
623.02606	43804
623.14941	44181
623.27277	44684
623.39612	45707
623.51947	46768
623.64282	47015
623.76617	48234
623.88953	49218
624.01288	48659
624.13617	49062
624.25952	49441
624.38287	50000
624.50623	48794
624.62958	47324
624.75287	46257
624.87622	45372
624.99957	44553
625.12286	43868
625.24622	44234
625.36957	43202
625.49286	43619
625.61621	42495
625.7395	42306
625.86285	42195
625.98615	41976
626.1095	42536
626.23279	42168
626.35614	42171
626.47943	41895
626.60278	41988
626.72607	41459
626.84937	40775
626.97272	41026
627.09601	40913
627.2193	40946
627.34259	40128
627.46594	40799
627.58923	41580
627.71252	40721
627.83582	41418
627.95911	40667
628.0824	40474
628.20569	40529
628.32898	40730
628.45227	40666
628.57556	41448
628.69885	40695
628.82214	40240
628.94543	40282
629.06873	40390
629.19202	40204
629.31531	40781
629.43854	40505
629.56183	40846
629.68512	40385
629.80841	40974
629.93164	40650
630.05493	41065
630.17822	41350
630.30145	40903
630.42474	40901
630.54797	40258
630.67126	40944
630.79449	40561
630.91779	40823
631.04102	41322
631.16431	41583
631.28754	40713
631.41083	41147
631.53406	41514
631.65729	41541
631.78058	41810
631.90381	41333
632.02704	40894
632.15027	40786
632.27356	40722
632.39679	40467
632.52002	40062
632.64325	39932
632.76648	40251
632.88971	40602
633.01294	40231
633.13617	39763
633.2594	39809
633.38263	40050
633.50586	39827
633.62909	40134
633.75232	39638
633.87555	40052
633.99878	39903
634.12195	39855
634.24518	39496
634.36841	39552
634.49164	39512
634.61481	38984
634.73804	39026
634.86127	39041
634.98444	38517
635.10767	38795
635.23083	38841
635.35406	39067
635.47723	39530
635.60046	39209
635.72363	40159
635.84686	39490
635.97003	38960
636.0932	39169
636.21643	39325
636.3396	39250
636.46277	38587
636.58594	39130
636.70917	38820
636.83234	38870
636.95551	38828
637.07867	38897
637.20184	39294
637.32501	38598
637.44818	38802
637.57135	38841
637.69452	39244
637.81769	38815
637.94086	38993
638.06403	39289
638.18719	39336
638.31036	39532
638.43353	39462
638.55664	39263
638.67981	39430
638.80298	39036
638.92615	38902
639.04926	38680
639.17242	37614
639.29553	38235
639.4187	38103
639.54187	38131
639.66498	38011
639.78815	38488
639.91125	38565
640.03436	38621
640.15753	38477
640.28064	38213
640.40381	38898
640.52692	38962
640.65002	38535
640.77313	38215
640.8963	38374
641.01941	38782
641.14252	38889
641.26562	38999
641.38873	39260
641.51184	39157
641.63495	38899
641.75806	38935
641.88116	39209
642.00427	38739
642.12738	38781
642.25049	38858
642.3736	39267
642.4967	39531
642.61981	39146
642.74286	38171
642.86597	38680
642.98907	38079
643.11218	38010
643.23523	38637
643.35834	38209
643.48138	38672
643.60449	38603
643.7276	38703
643.85065	38938
643.97369	38694
644.0968	38185
644.21985	38809
644.34296	39405
644.466	38843
644.58905	38895
644.71216	38649
644.83521	39409
644.95825	39178
645.0813	39730
645.20435	39904
645.32745	40027
645.4505	39946
645.57355	39807
645.69659	40023
645.81964	39300
645.94269	39505
646.06573	40533
646.18878	40194
646.31177	39805
646.43481	40372
646.55786	40545
646.68091	39836
646.80396	40370
646.92694	40420
647.04999	40402
647.17303	40750
647.29602	40279
647.41907	40367
647.54205	40475
647.6651	40283
647.78809	40198
647.91113	40361
648.03412	40032
648.15717	39680
648.28015	39734
648.40314	39653
648.52618	39206
648.64917	39862
648.77216	39803
648.89514	38825
649.01819	39259
649.14117	39701
649.26416	39809
649.38715	40544
649.51013	40445
649.63312	39933
649.7561	40060
649.87909	39716
650.00208	40584
650.12506	39753
650.24799	40234
650.37097	40329
650.49396	39728
650.61694	39887
650.73987	40025
650.86285	40153
650.98584	39652
651.10876	39850
651.23175	38633
651.35474	39093
651.47766	39499
651.60059	39318
651.72357	39037
651.8465	39262
651.96948	38732
652.09241	39179
652.21533	39222
652.33832	39058
652.46124	39524
652.58417	39581
652.70709	39463
652.83002	39884
652.95294	39488
653.07593	38808
653.19885	39324
653.32178	39538
653.44464	40155
653.56757	39477
653.69049	39219
653.81342	39341
653.93634	39178
654.05927	39151
654.18219	39025
654.30505	39231
654.42798	39252
654.5509	38846
654.67377	38337
654.79669	39161
654.91956	39344
655.04248	38499
655.16534	38114
655.28827	38725
655.41113	39261
655.53406	39246
655.65692	39544
655.77979	39220
655.90271	39120
656.02557	39441
656.14844	39369
656.2713	39229
656.39417	40061
656.51703	39660
656.63989	39518
656.76276	39739
656.88562	40130
657.00848	40407
657.13135	40550
657.25421	40932
657.37708	40611
657.49994	40774
657.6228	40262
657.74561	39642
657.86847	39782
657.99133	38994
658.11414	38886
658.237	39717
658.3598	39204
658.48267	39023
658.60547	39662
658.72833	39694
658.85114	39167
658.974	39667
659.0968	39314
659.2196	39204
659.34247	39406
659.46527	39524
659.58807	39538
659.71088	39084
659.83368	38849
659.95648	38352
660.07928	39260
660.20209	38745
660.32489	38940
660.44769	39207
660.5705	39387
660.6933	39181
660.8161	38554
660.9389	38466
661.06171	38110
661.18445	38579
661.30725	38855
661.43005	38536
661.5528	39319
661.6756	39056
661.79834	38710
661.92114	38943
662.04388	39697
662.16669	40516
662.28943	40373
662.41217	39942
662.53497	40295
662.65771	40633
662.78046	40282
662.9032	40885
663.026	42393
663.14874	43156
663.27148	42757
663.39423	42075
663.51697	41852
663.63971	42001
663.76245	42360
663.88519	41703
664.00793	41290
664.13062	42351
664.25336	42511
664.3761	41987
664.49884	41801
664.62152	41411
664.74426	41658
664.86694	40687
664.98969	39971
665.11243	40073
665.23511	40479
665.35779	39685
665.48053	39560
665.60321	40018
665.72589	39368
665.84863	39052
665.97131	39565
666.09399	39598
666.21667	39920
666.33942	40120
666.4621	40596
666.58478	40657
666.70746	40743
666.83014	40973
666.95282	41642
667.07544	42036
667.19812	41504
667.3208	41867
667.44348	41594
667.56616	41115
667.68878	41561
667.81146	41595
667.93414	41499
668.05676	41395
668.17944	41051
668.30206	40687
668.42474	40271
668.54736	40259
668.66998	39962
668.79266	39904
668.91528	40022
669.0379	38916
669.16058	38841
669.2832	38807
669.40582	38731
669.52844	38006
669.65106	37939
669.77368	37987
669.8963	37237
670.01892	37880
670.14154	37783
670.26416	37894
670.38678	37427
670.50934	37175
670.63196	37751
670.75458	37744
670.87714	37564
670.99976	37903
671.12238	37594
671.24493	37326
671.36755	38012
671.49011	37924
671.61273	37943
671.73529	38235
671.85785	38249
671.98047	38677
672.10303	38362
672.22559	38868
672.34814	38561
672.4707	38327
672.59326	37781
672.71582	38118
672.83838	38328
672.96094	38216
673.0835	38011
673.20605	38164
673.32861	38197
673.45117	38046
673.57373	37717
673.69623	37957
673.81879	36779
673.94135	37282
674.06384	37228
674.1864	36923
674.3089	37199
674.43146	37024
674.55396	37069
674.67651	37254
674.79901	37199
674.92151	37038
675.04401	36816
675.16656	36700
675.28906	35903
675.41156	35390
675.53406	35505
675.65656	36003
675.77905	35493
675.90155	35287
676.02405	35147
676.14655	35212
676.26904	35655
676.39154	35573
676.51398	35832
676.63647	35925
676.75897	35895
676.88141	35705
677.00391	35790
677.12634	36063
677.24884	36294
677.37128	36779
677.49377	37421
677.61621	37142
677.73865	36331
677.86115	36893
677.98358	36830
678.10602	36278
678.22845	36413
678.35089	36186
678.47333	36212
678.59576	35432
678.7182	35698
678.84064	35145
678.96307	34255
679.08551	34282
679.20795	33742
679.33038	34295
679.45276	34704
679.5752	34203
679.69763	34831
679.82001	34290
679.94244	34064
680.06482	34433
680.18726	34810
680.30963	34747
680.43207	34244
680.55444	34532
680.67682	33357
680.79919	33216
680.92163	32433
681.04401	32347
681.16638	32162
681.28876	32011
681.41113	31423
681.53351	31330
681.65588	30370
681.77826	28916
681.90057	27197
682.02295	25053
682.14532	22925
682.2677	20829
682.39001	18977
682.51239	17578
682.63477	16747
682.75708	16027
682.87946	15614
683.00177	15434
683.12408	15199
683.24646	15172
683.36877	15121
683.49109	14996
683.61346	14967
683.73578	14952
683.85809	15101
683.98041	15089
684.10272	14885
684.22504	15083
684.34735	14916
684.46967	14899
684.59198	14991
684.71423	15009
684.83655	14887
684.95886	15037
685.08112	15010
685.20343	15039
685.32574	15073
685.448	15058
685.57031	15085
685.69257	14967
685.81488	15000
685.93713	15023
686.05939	14909
686.18164	15033
686.30396	15041
686.42621	14883
686.54846	15075
686.67072	14880
686.79297	15089
686.91522	15066
687.03748	14910
687.15973	15012
687.28198	14978
687.40417	14972
687.52643	14951
687.64868	14982
687.77094	15031
687.89313	14975
688.01538	14907
688.13757	14942
688.25983	14942
688.38202	14868
688.50421	15029
688.62646	14974
688.74866	14948
688.87085	14957
688.99304	14939
689.1153	14967
689.23749	14898
689.35968	15019
689.48187	14964
689.60406	15005
689.72626	14906
689.84839	14902
689.97058	14911
690.09277	14967
690.21497	14942
690.3371	14960
690.45929	14985
690.58148	14931
690.70361	14951
690.82581	14963
690.94794	14942
691.07007	14886
691.19226	14879
691.31439	14949
691.43652	14919
691.55865	14937
691.68085	14953
691.80298	14898
691.92511	14944
692.04724	14966
692.16937	15106
692.29144	15000
692.41357	15035
692.53571	14910
692.65784	14954
692.77997	15016
692.90204	15071
693.02417	14963
693.14624	14944
693.26837	15061
693.39044	14898
693.51257	15000
693.63464	14887
693.75677	14994
693.87885	14962
694.00092	14967
694.12299	14985
694.24506	14890
694.36713	14958
694.4892	14936
694.61127	14945
694.73334	14977
694.85541	14997
694.97748	15010
695.09955	15001
695.22156	14886
